founders 			[-3.40418885e-05  1.99838905e+03  1.06484633e+00  3.74056053e-05]
trespass 			[-4.29383049e-05  1.99398647e+03  1.79315376e+01  4.35939500e-05]
prohibiting 			[-5.86180941e-05  1.98958752e+03  2.58388972e-01  6.48655907e-05]
blacks 			[-1.74263625e-04  1.99496272e+03  1.36794699e+01  1.81664526e-04]
women 			[-5.79942248e-04  1.99499216e+03  1.47197052e+01  7.15863496e-04]
reproductive 			[-8.25972178e-05  1.99293410e+03  3.54859493e+01  9.62699744e-05]
abortion 			[-2.60651013e-04  1.99517088e+03  1.13253866e+00  2.99748016e-04]
oppression 			[-5.03167938e-05  1.99195110e+03  3.92070475e+01  5.08756654e-05]
spheres 			[-5.46884001e-05  1.99501669e+03  1.38451903e+01  5.90760634e-05]
prescriptive 			[4.85612866e-05 1.99607189e+03 1.50729524e+01 1.86871727e-06]
shifting 			[-2.12711833e-05  1.99585800e+03  4.07338069e-01  2.46698829e-05]
compel 			[-9.17233168e-05  1.99019039e+03  7.64931718e-01  9.90485898e-05]
ceilings 			[1.37685542e-05 1.99500769e+03 2.66012464e+01 1.08250414e-06]
income 			[2.23959192e-04 1.99556145e+03 3.27808212e-01 3.58896855e-06]
optimal 			[1.14719047e-04 1.99680370e+03 1.27437982e+01 2.12517493e-05]
judge-made 			[-2.80778041e-05  1.99747254e+03  3.58942081e-01  2.69028922e-05]
blind 			[3.47237884e-05 1.99812010e+03 1.14820727e+01 7.11816598e-06]
elimination 			[-2.79848781e-05  1.99697989e+03  7.35760398e-01  3.35827549e-05]
optimistic 			[5.99314566e-05 1.99724687e+03 8.35763251e-01 9.20313849e-06]
september 			[3.62306109e-04 2.00071461e+03 2.08721988e+00 1.94742165e-05]
i. 			[-3.22761343e-05  1.99098851e+03  3.07383628e-01  3.99219151e-05]
minow 			[-5.57555823e-05  1.98898750e+03  2.52170659e+01  6.61297282e-05]
posner 			[6.71148514e-04 2.00069917e+03 2.89263557e+00 1.37885628e-04]
sullivan 			[-7.24379009e-05  1.99418107e+03  8.58711491e+00  8.06344832e-05]
daniel 			[2.62670986e-04 1.99789826e+03 5.64701974e-01 1.87365732e-05]
stylized 			[1.97338205e-05 1.99618762e+03 5.85761135e-01 2.05448301e-06]
1966 			[-5.00351262e-05  1.99229614e+03  2.88479000e+00  5.41486943e-05]
1969 			[-6.09480766e-05  1.99441050e+03  1.68993405e+00  7.04894366e-05]
infra 			[-8.40520465e-04  1.98871185e+03  2.40942106e-01  8.33368874e-04]
implied 			[-1.37753913e-04  1.99002445e+03  2.28048495e+01  1.55865971e-04]
retirement 			[6.40649966e-05 2.00290882e+03 1.84629572e+01 1.39857157e-05]
507 			[-2.50419163e-05  1.99397489e+03  3.18131620e+01  2.64110404e-05]
pierce 			[-1.19071162e-04  1.99099207e+03  1.37229237e+01  1.23406767e-04]
june 			[1.83962137e-04 2.00057976e+03 3.14229089e+00 3.69267042e-05]
liberalism 			[-1.16632208e-04  1.99597558e+03  1.09098214e+01  1.23078328e-04]
numbers 			[2.10096647e-04 1.99739508e+03 9.72431299e-01 3.13070668e-05]
appointments 			[-6.28025243e-05  1.99291620e+03  2.92705439e+01  7.17900168e-05]
pluralist 			[-2.03274485e-04  1.98896280e+03  2.61722409e+01  2.04027983e-04]
cited 			[-2.69451055e-04  1.99794527e+03  1.30005991e+01  3.34603135e-04]
pocock 			[-1.82584211e-04  1.98890061e+03  2.56001684e+01  1.82954193e-04]
wood 			[-5.86600312e-05  1.98960870e+03  3.61852340e-01  5.89566852e-05]
van 			[-1.49091238e-05  1.99615722e+03  8.15396065e+00  1.78709804e-05]
actually 			[2.30809100e-04 1.99020617e+03 5.42733999e-01 4.54913086e-05]
consistency 			[-4.62157583e-05  2.00241715e+03  8.26616805e-01  3.89923743e-05]
o 			[1.60737102e-04 1.99709570e+03 2.64264919e+00 2.20923665e-05]
precommitment 			[-3.62228220e-05  1.99197025e+03  4.83428362e+01  4.32879126e-05]
paradox 			[-6.20807619e-05  1.99100507e+03  2.40622916e+01  7.54569124e-05]
1988 			[-4.43473324e-04  1.99415343e+03  8.48110844e-01  5.03298988e-04]
suggestion 			[ 3.08916113e-04  1.99503550e+03  1.82123336e-01 -2.91791067e-05]
save 			[9.75532055e-05 1.99502154e+03 1.96793814e+01 2.40164108e-05]
410 			[-7.69915192e-05  1.99040432e+03  3.65452647e-01  8.30152682e-05]
levi 			[ 1.55412327e-05  2.00199639e+03 -3.53835804e+01  1.95389969e-06]
attachment 			[-7.05886040e-05  1.99079011e+03  2.98756718e+01  7.05803102e-05]
expressed 			[-6.79985142e-05  2.00290322e+03  3.46352013e-01  7.09364584e-05]
ch 			[-7.56962778e-05  1.99437762e+03  3.59101217e+01  9.04464285e-05]
peltzman 			[-2.78565336e-05  1.99390810e+03  2.51329758e+01  2.88303741e-05]
integrity 			[-4.77558790e-05  1.99591895e+03  1.03871732e+01  5.76494493e-05]
kahneman 			[2.48635676e-04 1.99613416e+03 1.35417522e+01 1.39275270e-05]
slovic 			[3.11994373e-04 2.00000959e+03 1.36834705e+01 1.12980577e-05]
processing 			[-1.78220821e-04  1.98884273e+03  5.30058167e-01  1.94312038e-04]
cong. 			[-3.46015270e-05  1.99514417e+03  4.01541871e-01  3.56454764e-05]
1st 			[-2.58186727e-05  1.99614229e+03  1.45631210e+01  3.11939717e-05]
sess 			[-2.64592316e-05  1.99678738e+03  1.15722171e+01  3.08066353e-05]
1949 			[-3.98409121e-05  1.99060077e+03  1.69507417e-01  3.98495762e-05]
sentiment 			[-2.19553725e-05  1.99737683e+03 -3.26935810e+01  2.72017318e-05]
hat 			[1.22696702e-05 1.99843954e+03 3.76228308e+01 1.48356012e-06]
fiss 			[-3.26876416e-05  1.99404120e+03  1.65921961e+00  3.27246435e-05]
1954 			[-3.24657960e-05  1.99497515e+03  2.36217109e+01  3.53954250e-05]
mar 			[-2.65351021e-05  1.99699654e+03  1.64993385e+01  3.14072334e-05]
1942 			[4.11610488e-05 2.00115311e+03 2.64611181e+01 7.64208140e-06]
urging 			[2.45526778e-05 1.99298522e+03 1.12618521e+01 6.00157381e-06]
1946 			[-5.19544656e-05  1.98972654e+03  7.79373636e-01  5.53430704e-05]
